state,stateSymbol,maskDate1,isMaskRequired1,maskDate2,isMaskRequired2,maskDate3,isMaskRequired3,schoolClosure_m1,banGathering_m1,resturantLimit_m1,stayAtHome_m1,nonEssenBussiness_m1,travelQuarantine_m1,barClosure_m1,schoolClosure_e1,banGathering_e1,resturantLimit_e1,stayAtHome_e1,nonEssenBussiness_e1,travelQuarantine_e1,barClosure_e1,schoolClosure_m2,banGathering_m2,resturantLimit_m2,stayAtHome_m2,nonEssenBussiness_m2,travelQuarantine_m2,barClosure_m2,schoolClosure_e2,banGathering_e2,resturantLimit_e2,stayAtHome_e2,nonEssenBussiness_e2,travelQuarantine_e2,barClosure_e2
Alabama,AL,4/28/2020,0,7/16/2020,1,,,3/27/2020,3/27/2020,3/27/2020,3/27/2020,3/27/2020,,,,,,4/30/2020,,,,,,,,,,,,,,,,,
Alaska,AK,4/20/2020,0,,,,,3/13/2020,3/20/2020,3/18/2020,3/17/2020,3/17/2020,3/28/2020,,,4/24/2020,4/24/2020,4/24/2020,4/24/2020,,,,,,,,11/16/2020,,,,,,,,
Arizona,AZ,3/30/2020,0,,,,,3/16/2020,3/30/2020,3/19/2020,3/30/2020,3/30/2020,4/7/2020,,,,,5/16/2020,5/8/2020,,,,6/29/2020,7/11/2020,,7/23/2020,,,,,,,,,
Arkansas,AR,5/4/2020,1,,,,,3/11/2020,3/26/2020,3/11/2020,,,5/14/2020,,,6/15/2020,5/11/2020,,,6/15/2020,,,1/2/2021,11/20/2020,,,,,,,,,,,
California,CA,6/18/2020,1,,,,,,3/16/2020,3/16/2020,3/19/2020,3/19/2020,,,,10/9/2020,5/8/2020,,5/11/2020,,,,,7/1/2020,11/21/2020,,,,,,1/25/2020,1/25/2020,,,
Colorado,CO,7/17/2020,1,,,,,3/18/2020,4/26/2020,3/16/2020,3/26/2020,,,,4/27/2020,6/1/2020,5/27/2020,,6/18/2020,,,,,,,7/21/2020,,6/30/2020,,,,,,,
Connecticut,CT,4/17/2020,1,,,,,3/11/2020,3/16/2020,3/16/2020,3/23/2020,3/20/2020,6/24/2020,9/25/2020,,6/17/2020,5/20/2020,5/20/2020,5/20/2020,,,,11/6/2020,11/6/2020,,11/6/2020,,,,,,,,,
Delaware,DE,4/28/2020,1,,,,,3/13/2020,3/16/2020,3/16/2020,3/22/2020,3/22/2020,3/29/2020,7/1/2020,,,,,2/12/2020,,,,,,,,,,,,,,,,
Florida,FL,6/5/2020,0,,,,,3/17/2020,4/1/2020,3/17/2020,4/1/2020,4/1/2020,3/24/2020,,,,5/29/2020,5/4/2020,6/22/2020,6/5/2020,6/26/2020,,,,,,,,,,,,,,
Georgia,GA,4/13/2020,0,,,,,3/16/2020,3/23/2020,3/23/2020,3/23/2020,,,,,6/16/2020,4/27/2020,5/1/2020,4/24/2020,,,,,,,,,,,,,,,,
