State,Population
AL,"49,03,185"
AK,"7,31,545"
AZ,"72,78,717"
AR,"30,17,804"
CA,"3,95,12,223"
CO,"57,58,736"
CT,"35,65,287"
DE,"9,73,764"
DC,"7,05,749"
FL,"2,14,77,737"
GA,"1,06,17,423"
HI,"14,15,872"
ID,"17,87,065"
IL,"1,26,71,821"
IN,"67,32,219"
IA,"31,55,070"
KS,"29,13,314"
KY,"44,67,673"
LA,"46,48,794"
ME,"13,44,212"
MD,"60,45,680"
MA,"68,92,503"
MI,"99,86,857"
MN,"56,39,632"
MS,"29,76,149"
MO,"61,37,428"
MT,"10,68,778"
NE,"19,34,408"
NV,"30,80,156"
NH,"13,59,711"
NJ,"88,82,190"
NM,"20,96,829"
NY,"1,94,53,561"
NC,"1,04,88,084"
ND,"7,62,062"
OH,"1,16,89,100"
OK,"39,56,971"
OR,"42,17,737"
PA,"1,28,01,989"
RI,"10,59,361"
SC,"51,48,714"
SD,"8,84,659"
TN,"68,29,174"
TX,"2,89,95,881"
UT,"32,05,958"
VT,"6,23,989"
VA,"85,35,519"
WA,"76,14,893"
WV,"17,92,147"
WI,"58,22,434"
WY,"5,78,759"
PR,"31,93,694"
