"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-02-17","CT",7476,6129,27,1347,12257,12257,584,0,,,6095412,33482,,,,,,271356,254520,534,0,,17961,,,,9800,,0,6366768,34016,,319256,,,,0,6349932,33808
"2021-02-16","CT",7449,6106,2,1343,12257,12257,606,0,,,6061930,19947,,,,,,270822,254194,580,0,,17701,,,,9800,,0,6332752,20527,,309117,,,,0,6316124,20485
"2021-02-15","CT",7447,6105,66,1342,12257,12257,618,0,,,6041983,94775,,,,,,270242,253656,2905,0,,17641,,,,9800,,0,6312225,97680,,306944,,,,0,6295639,97516
"2021-02-14","CT",7381,6049,0,1332,12257,12257,674,0,,,5947208,0,,,,,,267337,250915,0,0,,17354,,,,9800,,0,6214545,0,,299011,,,,0,6198123,0
"2021-02-13","CT",7381,6049,0,1332,12257,12257,674,0,,,5947208,0,,,,,,267337,250915,0,0,,17354,,,,9800,,0,6214545,0,,299011,,,,0,6198123,0
"2021-02-12","CT",7381,6049,27,1332,12257,12257,674,0,,,5947208,37007,,,,,,267337,250915,838,0,,17354,,,,9800,,0,6214545,37845,,299011,,,,0,6198123,37791
"2021-02-11","CT",7354,6025,28,1329,12257,12257,731,0,,,5910201,42354,,,,,,266499,250131,1003,0,,17255,,,,9800,,0,6176700,43357,,294317,,,,0,6160332,43240
"2021-02-10","CT",7326,5999,28,1327,12257,12257,770,0,,,5867847,27903,,,,,,265496,249245,888,0,,17090,,,,9800,,0,6133343,28791,,291264,,,,0,6117092,28662
"2021-02-09","CT",7298,5979,16,1319,12257,12257,826,0,,,5839944,21797,,,,,,264608,248486,869,0,,16943,,,,9800,,0,6104552,22666,,288150,,,,0,6088430,22602
"2021-02-08","CT",7282,5966,68,1316,12257,12257,815,0,,,5818147,118047,,,,,,263739,247681,4367,0,,16843,,,,9800,,0,6081886,122414,,284789,,,,0,6065828,122145
"2021-02-07","CT",7214,5895,0,1319,12257,12257,827,0,,,5700100,0,,,,,,259372,243583,0,0,,16362,,,,9800,,0,5959472,0,,274842,,,,0,5943683,0
"2021-02-06","CT",7214,5895,0,1319,12257,12257,827,0,,,5700100,0,,,,,,259372,243583,0,0,,16362,,,,9800,,0,5959472,0,,274842,,,,0,5943683,0
"2021-02-05","CT",7214,5895,29,1319,12257,12257,827,0,,,5700100,45717,,,,,,259372,243583,1431,0,,16362,,,,9800,,0,5959472,47148,,274842,,,,0,5943683,47026
"2021-02-04","CT",7185,5872,28,1313,12257,12257,837,0,,,5654383,28943,,,,,,257941,242274,937,0,,16175,,,,9800,,0,5912324,29880,,271157,,,,0,5896657,29864
"2021-02-03","CT",7157,5839,24,1318,12257,12257,874,0,,,5625440,12367,,,,,,257004,241353,482,0,,16128,,,,9800,,0,5882444,12849,,267549,,,,0,5866793,12782
"2021-02-02","CT",7133,5822,14,1311,12257,12257,900,0,,,5613073,56554,,,,,,256522,240938,2568,0,,16028,,,,9800,,0,5869595,59122,,264276,,,,0,5854011,58957
"2021-02-01","CT",7119,5806,73,1313,12257,12257,912,0,,,5556519,98250,,,,,,253954,238535,3931,0,,15705,,,,9800,,0,5810473,102181,,257183,,,,0,5795054,101971
"2021-01-31","CT",7046,5741,0,1305,12257,12257,985,0,,,5458269,0,,,,,,250023,234814,0,0,,15351,,,,9800,,0,5708292,0,,249128,,,,0,5693083,0
"2021-01-30","CT",7046,5741,0,1305,12257,12257,985,0,,,5458269,0,,,,,,250023,234814,0,0,,15351,,,,9800,,0,5708292,0,,249128,,,,0,5693083,0
