state,statename,collectionDate,InpatBeds_Occ_AnyPat_Est,InBedsOccAnyPat__Numbeds_Est,Inpatient_Bed_Capacity,InpatBeds_Occ_COVID_Est,InBedsOccCOVID__Numbeds_Est,ICUBeds_Occ_AnyPat_Est,ICUBedsOccAnyPat__N_ICUBeds_Est,ICUBedsOccAnyPat__N_ICUBeds_LoCI,ICUBedsOccAnyPat__N_ICUBeds_UpCI,ICU_Bed_total_estimate_Capacity
AK,Alaska,01-Apr-20,532,57.6,923.6111111,40,4.3,82,54.7,15.7,93.7,149.9085923
AK,Alaska,02-Apr-20,524,56.7,924.1622575,52,5.6,72,48,19.6,76.4,150
AK,Alaska,03-Apr-20,510,55.2,923.9130435,48,5.2,64,42.7,25.7,59.6,149.882904
AK,Alaska,04-Apr-20,600,49,1224.489796,32,2.6,73,44.7,22,67.5,163.310962
AK,Alaska,05-Apr-20,594,48.5,1224.742268,49,3.9,85,51.8,22.7,80.8,164.0926641
AK,Alaska,06-Apr-20,582,47.5,1225.263158,8,0.7,78,47.6,16.9,78.2,163.8655462
AK,Alaska,07-Apr-20,545,44.5,1224.719101,8,0.7,73,44.5,30.4,58.7,164.0449438
AK,Alaska,08-Apr-20,583,47.6,1224.789916,2,0.2,62,37.8,22.4,53.2,164.021164
AK,Alaska,09-Apr-20,643,52.5,1224.761905,25,2,62,37.8,25.6,50.1,164.021164
AK,Alaska,10-Apr-20,563,53.5,1052.336449,24,2.3,53,37.3,22.3,52.4,142.0911528
AK,Alaska,11-Apr-20,589,56,1051.785714,9,0.9,67,47.2,19.5,74.8,141.9491525
AK,Alaska,12-Apr-20,556,52.9,1051.039698,9,0.8,67,47.2,17.8,76.6,141.9491525
AK,Alaska,13-Apr-20,539,51.2,1052.734375,0,0,77,54.2,29.6,78.9,142.0664207
AK,Alaska,14-Apr-20,597,45.9,1300.653595,2,0.2,77,49.4,26.3,72.4,155.8704453
AK,Alaska,15-Apr-20,673,39.5,1703.797468,15,0.9,91,33.8,6.1,61.6,269.2307692
AK,Alaska,16-Apr-20,664,39,1702.564103,20,1.2,111,41.3,13.9,68.6,268.7651332
AK,Alaska,17-Apr-20,642,37.7,1702.917772,18,1.1,102,37.9,16.3,59.6,269.1292876
