"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-02-17","IL",22224,20057,25,2167,,,1719,0,,375,16154097,48142,,,,,176,1166717,,1795,0,,,,,,,,0,17320814,49937,,,,,,0,17320814,49937
"2021-02-16","IL",22199,20034,33,2165,,,1726,0,,385,16105955,45282,,,,,179,1164922,,1348,0,,,,,,,,0,17270877,46630,,,,,,0,17270877,46630
"2021-02-15","IL",22166,20002,45,2164,,,1789,0,,389,16060673,50969,,,,,184,1163574,,1420,0,,,,,,,,0,17224247,52389,,,,,,0,17224247,52389
"2021-02-14","IL",22121,19961,34,2160,,,1777,0,,373,16009704,63318,,,,,189,1162154,,1631,0,,,,,,,,0,17171858,64949,,,,,,0,17171858,64949
"2021-02-13","IL",22087,19926,60,2161,,,1892,0,,425,15946386,82898,,,,,202,1160523,,2092,0,,,,,,,,0,17106909,84990,,,,,,0,17106909,84990
"2021-02-12","IL",22027,19873,42,2154,,,1910,0,,437,15863488,100411,,,,,211,1158431,,2598,0,,,,,,,,0,17021919,103009,,,,,,0,17021919,103009
"2021-02-11","IL",21985,19841,116,2144,,,1954,0,,448,15763077,93687,,,,,227,1155833,,2838,0,,,,,,,,0,16918910,96525,,,,,,0,16918910,96525
"2021-02-10","IL",21869,19739,67,2130,,,2082,0,,464,15669390,80060,,,,,232,1152995,,2825,0,,,,,,,,0,16822385,82885,,,,,,0,16822385,82885
"2021-02-09","IL",21802,19686,23,2116,,,2117,0,,497,15589330,53623,,,,,240,1150170,,2082,0,,,,,,,,0,16739500,55705,,,,,,0,16739500,55705
"2021-02-08","IL",21779,19668,41,2111,,,2161,0,,469,15535707,45463,,,,,251,1148088,,1747,0,,,,,,,,0,16683795,47210,,,,,,0,16683795,47210
"2021-02-07","IL",21738,19633,62,2105,,,2188,0,,507,15490244,79490,,,,,245,1146341,,2060,0,,,,,,,,0,16636585,81550,,,,,,0,16636585,81550
"2021-02-06","IL",21676,19585,73,2091,,,2271,0,,485,15410754,87233,,,,,246,1144281,,3062,0,,,,,,,,0,16555035,90295,,,,,,0,16555035,90295
"2021-02-05","IL",21603,19526,106,2077,,,2318,0,,491,15323521,101425,,,,,254,1141219,,3660,0,,,,,,,,0,16464740,105085,,,,,,0,16464740,105085
"2021-02-04","IL",21497,19444,77,2053,,,2341,0,,513,15222096,97979,,,,,265,1137559,,3328,0,,,,,,,,0,16359655,101307,,,,,,0,16359655,101307
"2021-02-03","IL",21420,19375,84,2045,,,2469,0,,520,15124117,93580,,,,,270,1134231,,3314,0,,,,,,,,0,16258348,96894,,,,,,0,16258348,96894
"2021-02-02","IL",21336,19306,63,2030,,,2447,0,,533,15030537,58595,,,,,265,1130917,,2304,0,,,,,,,,0,16161454,60899,,,,,,0,16161454,60899
"2021-02-01","IL",21273,19259,20,2014,,,2387,0,,515,14971942,58951,,,,,278,1128613,,2312,0,,,,,,,,0,16100555,61263,,,,,,0,16100555,61263
"2021-01-31","IL",21253,19243,40,2010,,,2467,0,,538,14912991,84443,,,,,289,1126301,,2428,0,,,,,,,,0,16039292,86871,,,,,,0,16039292,86871
"2021-01-30","IL",21213,19203,67,2010,,,2600,0,,522,14828548,104457,,,,,284,1123873,,3345,0,,,,,,,,0,15952421,107802,,,,,,0,15952421,107802
"2021-01-29","IL",21146,19138,72,2008,,,2735,0,,532,14724091,106901,,,,,297,1120528,,4156,0,,,,,,,,0,15844619,111057,,,,,,0,15844619,111057
"2021-01-28","IL",21074,19067,125,2007,,,2802,0,,567,14617190,95928,,,,,292,1116372,,4191,0,,,,,,,,0,15733562,100119,,,,,,0,15733562,100119
"2021-01-27","IL",20949,18964,96,1985,,,2931,0,,591,14521262,76373,,,,,300,1112181,,3751,0,,,,,,,,0,15633443,80124,,,,,,0,15633443,80124
"2021-01-26","IL",20853,18883,109,1970,,,3001,0,,608,14444889,65618,,,,,320,1108430,,3667,0,,,,,,,,0,15553319,69285,,,,,,0,15553319,69285
"2021-01-25","IL",20744,18798,64,1946,,,2962,0,,601,14379271,71258,,,,,302,1104763,,2944,0,,,,,,,,0,15484034,74202,,,,,,0,15484034,74202
"2021-01-24","IL",20680,18750,35,1930,,,2994,0,,617,14308013,86846,,,,,321,1101819,,3292,0,,,,,,,,0,15409832,90138,,,,,,0,15409832,90138
"2021-01-23","IL",20645,18711,111,1934,,,3121,0,,644,14221167,105026,,,,,338,1098527,,5152,0,,,,,,,,0,15319694,110178,,,,,,0,15319694,110178
"2021-01-22","IL",20534,18615,111,1919,,,3179,0,,661,14116141,118789,,,,,348,1093375,,7042,0,,,,,,,,0,15209516,125831,,,,,,0,15209516,125831
"2021-01-21","IL",20423,18520,138,1903,,,3281,0,,662,13997352,94057,,,,,358,1086333,,4979,0,,,,,,,,0,15083685,99036,,,,,,0,15083685,99036
"2021-01-20","IL",20285,18398,132,1887,,,3284,0,,722,13903295,81299,,,,,379,1081354,,4822,0,,,,,,,,0,14984649,86121,,,,,,0,14984649,86121
"2021-01-19","IL",20153,18291,35,1862,,,3335,0,,713,13821996,67215,,,,,395,1076532,,4318,0,,,,,,,,0,14898528,71533,,,,,,0,14898528,71533
"2021-01-18","IL",20118,18258,68,1860,,,3345,0,,705,13754781,59617,,,,,392,1072214,,3385,0,,,,,,,,0,14826995,63002,,,,,,0,14826995,63002
"2021-01-17","IL",20050,18208,30,1842,,,3408,0,,720,13695164,92683,,,,,387,1068829,,4162,0,,,,,,,,0,14763993,96845,,,,,,0,14763993,96845
"2021-01-16","IL",20020,18179,147,1841,,,3406,0,,711,13602481,97029,,,,,379,1064667,,5343,0,,,,,,,,0,14667148,102372,,,,,,0,14667148,102372
"2021-01-15","IL",19873,18049,149,1824,,,3446,0,,712,13505452,100514,,,,,386,1059324,,6642,0,,,,,,,,0,14564776,107156,,,,,,0,14564776,107156
"2021-01-14","IL",19724,17928,107,1796,,,3511,0,,742,13404938,111384,,,,,382,1052682,,6652,0,,,,,,,,0,14457620,118036,,,,,,0,14457620,118036
"2021-01-13","IL",19617,17840,120,1777,,,3642,0,,749,13293554,70245,,,,,386,1046030,,5862,0,,,,,,,,0,14339584,76107,,,,,,0,14339584,76107
"2021-01-12","IL",19497,17743,134,1754,,,3553,0,,757,13223309,86849,,,,,409,1040168,,6642,0,,,,,,,,0,14263477,93491,,,,,,0,14263477,93491
"2021-01-11","IL",19363,17627,70,1736,,,3540,0,,759,13136460,61921,,,,,401,1033526,,4776,0,,,,,,,,0,14169986,66697,,,,,,0,14169986,66697
"2021-01-10","IL",19293,17574,83,1719,,,3527,0,,740,13074539,73064,,,,,391,1028750,,4711,0,,,,,,,,0,14103289,77775,,,,,,0,14103289,77775
"2021-01-09","IL",19210,17494,102,1716,,,3589,0,,742,13001475,96186,,,,,393,1024039,,6717,0,,,,,,,,0,14025514,102903,,,,,,0,14025514,102903
"2021-01-08","IL",19108,17395,167,1713,,,3777,0,,780,12905289,109388,,,,,422,1017322,,9277,0,,,,,,,,0,13922611,118665,,,,,,0,13922611,118665
"2021-01-07","IL",18941,17272,206,1669,,,3921,0,,783,12795901,96761,,,,,450,1008045,,8757,0,,,,,,,,0,13803946,105518,,,,,,0,13803946,105518
"2021-01-06","IL",18735,17096,173,1639,,,3928,0,,812,12699140,73405,,,,,451,999288,,7569,0,,,,,,,,0,13698428,80974,,,,,,0,13698428,80974
"2021-01-05","IL",18562,16959,150,1603,,,3905,0,,800,12625735,80244,,,,,457,991719,,6839,0,,,,,,,,0,13617454,87083,,,,,,0,13617454,87083
"2021-01-04","IL",18412,16834,90,1578,,,3948,0,,816,12545491,43195,,,,,471,984880,,5059,0,,,,,,,,0,13530371,48254,,,,,,0,13530371,48254
"2021-01-03","IL",18322,16755,105,1567,,,3817,0,,798,12502296,40996,,,,,462,979821,,4469,0,,,,,,,,0,13482117,45465,,,,,,0,13482117,45465
"2021-01-02","IL",18217,16674,44,1543,,,3799,0,,783,12461300,57225,,,,,458,975352,,4762,0,,,,,,,,0,13436652,61987,,,,,,0,13436652,61987
"2021-01-01","IL",18173,16647,195,1526,,,3992,0,,808,12404075,90021,,,,,464,970590,,7201,0,,,,,,,,0,13374665,97222,,,,,,0,13374665,97222
"2020-12-31","IL",17978,16490,167,1488,,,4093,0,,837,12314054,91417,,,,,496,963389,,8009,0,,,,,,,,0,13277443,99426,,,,,,0,13277443,99426
"2020-12-30","IL",17811,16357,215,1454,,,4244,0,,882,12222637,67199,,,,,496,955380,,7374,0,,,,,,,,0,13178017,74573,,,,,,0,13178017,74573
"2020-12-29","IL",17596,16179,126,1417,,,4313,0,,904,12155438,61142,,,,,506,948006,,5644,0,,,,,,,,0,13103444,66786,,,,,,0,13103444,66786
"2020-12-28","IL",17470,16074,134,1396,,,4243,0,,884,12094296,46593,,,,,515,942362,,4453,0,,,,,,,,0,13036658,51046,,,,,,0,13036658,51046
"2020-12-27","IL",17336,15969,112,1367,,,4083,0,,905,12047703,42459,,,,,497,937909,,3767,0,,,,,,,,0,12985612,46226,,,,,,0,12985612,46226
"2020-12-26","IL",17224,15865,70,1359,,,4021,0,,874,12005244,54155,,,,,494,934142,,3293,0,,,,,,,,0,12939386,57448,,,,,,0,12939386,57448
