"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-02-17","ME",654,640,3,14,1490,1490,91,3,,25,1492076,37557,14004,,1484863,,9,42872,34120,104,0,781,9779,,,40423,12693,,0,1534948,37661,14797,187450,,,,0,1526196,37964
"2021-02-16","ME",651,638,2,13,1487,1487,92,3,,24,1454519,0,13938,,1447447,,11,42768,34054,91,0,762,9500,,,39900,12663,,0,1497287,91,14712,179366,,,,0,1488232,0
"2021-02-15","ME",649,636,0,13,1484,1484,94,0,,25,1454519,0,13938,,1447447,,10,42677,34003,148,0,762,9500,,,39900,12656,,0,1497196,148,14712,179366,,,,0,1488232,0
"2021-02-14","ME",649,636,2,13,1484,1484,101,8,,28,1454519,0,13938,,1447447,,10,42529,33935,110,0,762,9500,,,39900,12645,,0,1497048,110,14712,179366,,,,0,1488232,0
"2021-02-13","ME",647,634,4,13,1476,1476,100,7,,27,1454519,0,13938,,1447447,,9,42419,33823,160,0,762,9500,,,39900,12641,,0,1496938,160,14712,179366,,,,0,1488232,0
"2021-02-12","ME",643,630,2,13,1469,1469,102,5,,24,1454519,10000,13938,,1447447,,9,42259,33713,201,0,762,9500,,,39900,12619,,0,1496778,10201,14712,179366,,,,0,1488232,10137
"2021-02-11","ME",641,628,0,13,1464,1464,100,6,,22,1444519,10604,13914,,1437465,,11,42058,33576,175,0,754,9433,,,39751,12588,,0,1486577,10779,14680,177349,,,,0,1478095,10711
"2021-02-10","ME",641,628,2,13,1458,1458,112,8,,23,1433915,8978,13887,,1426902,,13,41883,33469,253,0,749,9357,,,39606,12582,,0,1475798,9231,14648,175502,,,,0,1467384,9146
"2021-02-09","ME",639,626,3,13,1450,1450,117,5,,24,1424937,2825,13865,,1417919,,13,41630,33301,211,0,745,9297,,,39447,12568,,0,1466567,3036,14622,173890,,,,0,1458238,2950
"2021-02-08","ME",636,623,1,13,1445,1445,123,3,,32,1422112,24951,13850,,1415029,,13,41419,33176,201,0,739,9205,,,39391,12535,,0,1463531,25152,14601,172106,,,,0,1455288,25398
"2021-02-07","ME",635,622,1,13,1442,1442,123,6,,35,1397161,0,13798,,1390233,,17,41218,33022,154,0,729,8958,,,38804,12526,,0,1438379,154,14539,166829,,,,0,1429890,0
"2021-02-06","ME",634,621,2,13,1436,1436,132,5,,40,1397161,0,13798,,1390233,,21,41064,32901,265,0,729,8958,,,38804,12521,,0,1438225,265,14539,166829,,,,0,1429890,0
"2021-02-05","ME",632,619,2,13,1431,1431,131,11,,45,1397161,8022,13798,,1390233,,22,40799,32729,265,0,729,8958,,,38804,12498,,0,1437960,8287,14539,166829,,,,0,1429890,8214
"2021-02-04","ME",630,617,3,13,1420,1420,145,10,,46,1389139,6740,13771,,1382235,,22,40534,32537,301,0,725,8869,,,38593,12481,,0,1429673,7041,14508,164708,,,,0,1421676,6962
"2021-02-03","ME",627,614,9,13,1410,1410,158,7,,49,1382399,10112,13740,,1375488,,23,40233,32315,273,0,719,8795,,,38379,12467,,0,1422632,10385,14471,163252,,,,0,1414714,10309
"2021-02-02","ME",618,605,23,13,1403,1403,157,9,,48,1372287,3794,13725,,1365424,,24,39960,32118,417,0,714,8704,,,38136,12440,,0,1412247,4211,14451,161581,,,,0,1404405,4059
"2021-02-01","ME",595,585,5,10,1394,1394,164,4,,51,1368493,31220,13707,,1361521,,28,39543,31853,219,0,713,8597,,,37983,12422,,0,1408036,31439,14432,159695,,,,0,1400346,31789
"2021-01-31","ME",590,580,0,10,1390,1390,160,4,,52,1337273,0,13643,,1330692,,29,39324,31689,156,0,698,8311,,,37045,12409,,0,1376597,156,14353,153380,,,,0,1368557,0
"2021-01-30","ME",590,580,20,10,1386,1386,161,5,,51,1337273,0,13643,,1330692,,27,39168,31567,355,0,698,8311,,,37045,12398,,0,1376441,355,14353,153380,,,,0,1368557,0
"2021-01-29","ME",570,560,3,10,1381,1381,176,6,,54,1337273,12604,13643,,1330692,,31,38813,31284,359,0,698,8311,,,37045,12379,,0,1376086,12963,14353,153380,,,,0,1368557,12824
"2021-01-28","ME",567,557,5,10,1375,1375,171,9,,51,1324669,11378,13609,,1318252,,31,38454,31064,284,0,685,8206,,,36663,12337,,0,1363123,11662,14306,151052,,,,0,1355733,11625
"2021-01-27","ME",562,553,4,9,1366,1366,183,9,,51,1313291,7341,13591,,1306880,,30,38170,30817,462,0,680,8088,,,36413,12316,,0,1351461,7803,14283,148759,,,,0,1344108,7662
"2021-01-26","ME",558,549,11,9,1357,1357,194,15,,59,1305950,4576,13568,,1299554,,25,37708,30496,662,0,675,7968,,,36078,12275,,0,1343658,5238,14255,146647,,,,0,1336446,4964
"2021-01-25","ME",547,538,3,9,1342,1342,193,20,,59,1301374,28958,13554,,1294812,,20,37046,30108,448,0,672,7801,,,35864,12245,,0,1338420,29406,14238,144556,,,,0,1331482,29594
"2021-01-24","ME",544,535,0,9,1322,1322,189,0,,55,1272416,0,13500,,1266415,,20,36598,29780,0,0,658,7393,,,34697,12225,,0,1309014,0,14170,137930,,,,0,1301888,0
"2021-01-23","ME",544,535,4,9,1322,1322,185,13,,57,1272416,0,13500,,1266415,,19,36598,29780,324,0,658,7393,,,34697,12225,,0,1309014,324,14170,137930,,,,0,1301888,0
"2021-01-22","ME",540,531,4,9,1309,1309,190,15,,61,1272416,9664,13500,,1266415,,19,36274,29472,636,0,658,7393,,,34697,12187,,0,1308690,10300,14170,137930,,,,0,1301888,10137
"2021-01-21","ME",536,527,6,9,1294,1294,182,7,,54,1262752,17433,13472,,1256638,,21,35638,28999,675,0,650,7271,,,34337,12128,,0,1298390,18108,14134,135980,,,,0,1291751,17909
"2021-01-20","ME",530,521,11,9,1287,1287,198,18,,71,1245319,8708,13451,,1239223,,37,34963,28523,701,0,647,7126,,,33844,12102,,0,1280282,9409,14110,133716,,,,0,1273842,9197
"2021-01-19","ME",519,511,5,8,1269,1269,191,15,,68,1236611,30845,13429,,1230407,,27,34262,28034,386,0,642,6954,,,33473,12071,,0,1270873,31231,14083,131110,,,,0,1264645,31956
"2021-01-18","ME",514,506,3,8,1254,1254,194,10,,63,1205766,0,13361,,1199935,,31,33876,27768,317,0,625,6381,,,32003,12039,,0,1239642,317,13998,122129,,,,0,1232689,0
"2021-01-17","ME",511,503,4,8,1244,1244,205,2,,66,1205766,0,13361,,1199935,,26,33559,27511,340,0,625,6381,,,32003,11989,,0,1239325,340,13998,122129,,,,0,1232689,0
"2021-01-16","ME",507,499,30,8,1242,1242,194,14,,59,1205766,0,13361,,1199935,,22,33219,27249,438,0,625,6381,,,32003,11952,,0,1238985,438,13998,122129,,,,0,1232689,0
"2021-01-15","ME",477,470,16,7,1228,1228,193,11,,61,1205766,13756,13361,,1199935,,24,32781,26923,823,0,625,6381,,,32003,11876,,0,1238547,14579,13998,122129,,,,0,1232689,14345
"2021-01-14","ME",461,456,8,5,1217,1217,193,16,,63,1192010,8462,13329,,1186286,,23,31958,26334,808,0,619,6194,,,31313,11840,,0,1223968,9270,13960,119526,,,,0,1218344,9088
"2021-01-13","ME",453,447,4,6,1201,1201,207,12,,64,1183548,10180,13301,,1177587,,23,31150,25708,824,0,614,6022,,,30929,11809,,0,1214698,11004,13927,116938,,,,0,1209256,10725
"2021-01-12","ME",449,443,11,6,1189,1189,203,18,,68,1173368,6710,13282,,1167333,,27,30326,25163,715,0,606,5851,,,30460,11768,,0,1203694,7425,13900,114409,,,,0,1198531,7194
"2021-01-11","ME",438,432,6,6,1171,1171,190,13,,57,1166658,22344,13267,,1160561,,21,29611,24679,313,0,596,5687,,,30050,11752,,0,1196269,22657,13875,112159,,,,0,1191337,23220
"2021-01-10","ME",432,426,0,6,1158,1158,191,0,,51,1144314,0,13198,,1138686,,24,29298,24430,279,0,574,5106,,,28720,11735,,0,1173612,279,13784,104794,,,,0,1168117,0
"2021-01-09","ME",432,426,6,6,1158,1158,205,8,,56,1144314,0,13198,,1138686,,26,29019,24218,612,0,574,5106,,,28720,11728,,0,1173333,612,13784,104794,,,,0,1168117,0
"2021-01-08","ME",426,420,41,6,1150,1150,205,15,,56,1144314,9735,13198,,1138686,,26,28407,23803,782,0,574,5106,,,28720,11690,,0,1172721,10517,13784,104794,,,,0,1168117,10345
