"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-02-17","NY",37440,,112,,89995,89995,6574,0,,1273,,0,,,,,854,1548979,,6092,0,,,,,,139544,35523811,169963,35523811,169963,,,,,,0,,0
"2021-02-16","NY",37328,,107,,89995,89995,6620,0,,1271,,0,,,,,878,1542887,,6753,0,,,,,,138975,35353848,136392,35353848,136392,,,,,,0,,0
"2021-02-15","NY",37221,,103,,89995,89995,6623,0,,1270,,0,,,,,875,1536134,,6365,0,,,,,,138542,35217456,180504,35217456,180504,,,,,,0,,0
"2021-02-14","NY",37118,,109,,89995,89995,6593,0,,1285,,0,,,,,881,1529769,,8316,0,,,,,,138050,35036952,234708,35036952,234708,,,,,,0,,0
"2021-02-13","NY",37009,,127,,89995,89995,6888,0,,1328,,0,,,,,908,1521453,,8763,0,,,,,,137276,34802244,253563,34802244,253563,,,,,,0,,0
"2021-02-12","NY",36882,,139,,89995,89995,7068,0,,1358,,0,,,,,941,1512690,,8404,0,,,,,,136491,34548681,237134,34548681,237134,,,,,,0,,0
"2021-02-11","NY",36743,,124,,89995,89995,7342,0,,1402,,0,,,,,941,1504286,,10099,0,,,,,,135657,34311547,285499,34311547,285499,,,,,,0,,0
"2021-02-10","NY",36619,,138,,89995,89995,7593,0,,1423,,0,,,,,955,1494187,,7101,0,,,,,,134742,34026048,176750,34026048,176750,,,,,,0,,0
"2021-02-09","NY",36481,,142,,89995,89995,7875,0,,1412,,0,,,,,971,1487086,,7866,0,,,,,,133869,33849298,153648,33849298,153648,,,,,,0,,0
"2021-02-08","NY",36339,,115,,89995,89995,7716,0,,1454,,0,,,,,961,1479220,,8448,0,,,,,,133470,33695650,197183,33695650,197183,,,,,,0,,0
"2021-02-07","NY",36224,,145,,89995,89995,7649,0,,1459,,0,,,,,979,1470772,,10025,0,,,,,,132905,33498467,250892,33498467,250892,,,,,,0,,0
"2021-02-06","NY",36079,,159,,89995,89995,7804,0,,1481,,0,,,,,995,1460747,,11252,0,,,,,,132012,33247575,261285,33247575,261285,,,,,,0,,0
"2021-02-05","NY",35920,,153,,89995,89995,7937,0,,1516,,0,,,,,1000,1449495,,8777,0,,,,,,131165,32986290,203627,32986290,203627,,,,,,0,,0
"2021-02-04","NY",35767,,136,,89995,89995,7967,0,,1506,,0,,,,,986,1440718,,7414,0,,,,,,130302,32782663,169186,32782663,169186,,,,,,0,,0
"2021-02-03","NY",35631,,165,,89995,89995,8082,0,,1522,,0,,,,,1003,1433304,,5925,0,,,,,,129378,32613477,126489,32613477,126489,,,,,,0,,0
"2021-02-02","NY",35466,,147,,89995,89995,8067,0,,1503,,0,,,,,1004,1427379,,8215,0,,,,,,128889,32486988,150199,32486988,150199,,,,,,0,,0
"2021-02-01","NY",35319,,141,,89995,89995,8003,0,,1500,,0,,,,,987,1419164,,8508,0,,,,,,128354,32336789,175038,32336789,175038,,,,,,0,,0
