"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-02-17","NC",10670,9482,108,1188,,,1954,0,,446,8990700,28307,,,,,,829507,728776,3167,0,,,,,,765456,,0,9820207,31474,,669667,,,,0,9719476,30322
"2021-02-16","NC",10562,9392,61,1170,,,1958,0,,473,8962393,27690,,,,,,826340,726761,1988,0,,,,,,765456,,0,9788733,29678,,662764,,,,0,9689154,29066
"2021-02-15","NC",10501,9345,10,1156,,,1941,0,,471,8934703,34501,,,,,,824352,725385,2458,0,,,,,,765456,,0,9759055,36959,,657215,,,,0,9660088,36724
"2021-02-14","NC",10491,9337,38,1154,,,1989,0,,481,8900202,47647,,,,,,821894,723162,3170,0,,,,,,730454,,0,9722096,50817,,653807,,,,0,9623364,50356
"2021-02-13","NC",10453,9306,77,1147,,,2101,0,,496,8852555,60512,,,,,,818724,720453,4130,0,,,,,,730454,,0,9671279,64642,,649506,,,,0,9573008,63467
"2021-02-12","NC",10376,9254,82,1122,,,2151,0,,506,8792043,58436,,,,,,814594,717498,4128,0,,,,,,730454,,0,9606637,62564,,639481,,,,0,9509541,61922
"2021-02-11","NC",10294,9189,113,1105,,,2185,0,,516,8733607,65165,,,,,,810466,714012,4568,0,,,,,,730454,,0,9544073,69733,,632433,,,,0,9447619,68524
"2021-02-10","NC",10181,9107,135,1074,,,2291,0,,540,8668442,32170,,,,,,805898,710653,3833,0,,,,,,730454,,0,9474340,36003,,618482,,,,0,9379095,34658
"2021-02-09","NC",10046,9002,55,1044,,,2374,0,,558,8636272,31042,,,,,,802065,708165,2786,0,,,,,,730454,,0,9438337,33828,,612328,,,,0,9344437,33257
"2021-02-08","NC",9991,8958,8,1033,,,2339,0,,559,8605230,42668,,,,,,799279,705950,3084,0,,,,,,730454,,0,9404509,45752,,607292,,,,0,9311180,45374
"2021-02-07","NC",9983,8951,57,1032,,,2378,0,,584,8562562,57302,,,,,,796195,703244,4674,0,,,,,,683697,,0,9358757,61976,,602161,,,,0,9265806,61225
"2021-02-06","NC",9926,8901,85,1025,,,2468,0,,591,8505260,53157,,,,,,791521,699321,4172,0,,,,,,683697,,0,9296781,57329,,598343,,,,0,9204581,56382
"2021-02-05","NC",9841,8838,113,1003,,,2523,0,,599,8452103,62428,,,,,,787349,696096,5547,0,,,,,,683697,,0,9239452,67975,,590881,,,,0,9148199,66514
"2021-02-04","NC",9728,8753,150,975,,,2630,0,,630,8389675,63632,,,,,,781802,692010,5495,0,,,,,,683697,,0,9171477,69127,,580959,,,,0,9081685,67892
"2021-02-03","NC",9578,8630,169,948,,,2706,0,,635,8326043,71000,,,,,,776307,687750,12079,0,,,,,,683697,,0,9102350,83079,,571413,,,,0,9013793,76024
"2021-02-02","NC",9409,8503,67,906,,,2741,0,,645,8255043,27231,,,,,,764228,682726,2926,0,,,,,,683697,,0,9019271,30157,,527866,,,,0,8937769,29511
"2021-02-01","NC",9342,8448,7,894,,,2781,0,,636,8227812,41717,,,,,,761302,680446,3776,0,,,,,,683697,,0,8989114,45493,,524653,,,,0,8908258,45190
"2021-01-31","NC",9335,8442,48,893,,,2782,0,,635,8186095,56070,,,,,,757526,676973,4899,0,,,,,,635543,,0,8943621,60969,,522474,,,,0,8863068,60269
"2021-01-30","NC",9287,8404,130,883,,,2883,0,,651,8130025,66045,,,,,,752627,672774,6168,0,,,,,,635543,,0,8882652,72213,,517276,,,,0,8802799,70983
"2021-01-29","NC",9157,8303,111,854,,,3048,0,,644,8063980,77743,,,,,,746459,667836,6959,0,,,,,,635543,,0,8810439,84702,,507604,,,,0,8731816,83393
"2021-01-28","NC",9046,8213,131,833,,,3238,0,,660,7986237,63118,,,,,,739500,662186,6490,0,,,,,,635543,,0,8725737,69608,,500469,,,,0,8648423,68266
"2021-01-27","NC",8915,8120,139,795,,,3305,0,,676,7923119,42605,,,,,,733010,657038,5587,0,,,,,,635543,,0,8656129,48192,,492898,,,,0,8580157,46650
"2021-01-26","NC",8776,8005,56,771,,,3368,0,,696,7880514,29899,,,,,,727423,652993,3978,0,,,,,,635543,,0,8607937,33877,,483594,,,,0,8533507,33028
"2021-01-25","NC",8720,7964,25,756,,,3287,0,,703,7850615,44880,,,,,,723445,649864,4633,0,,,,,,635543,,0,8574060,49513,,477337,,,,0,8500479,49185
"2021-01-24","NC",8695,7942,109,753,,,3303,0,,713,7805735,55889,,,,,,718812,645559,6096,0,,,,,,579573,,0,8524547,61985,,475269,,,,0,8451294,61012
"2021-01-23","NC",8586,7858,122,728,,,3416,0,,736,7749846,67729,,,,,,712716,640436,7181,0,,,,,,579573,,0,8462562,74910,,470849,,,,0,8390282,73572
"2021-01-22","NC",8464,7756,125,708,,,3512,0,,752,7682117,69985,,,,,,705535,634593,7436,0,,,,,,579573,,0,8387652,77421,,460479,,,,0,8316710,76016
"2021-01-21","NC",8339,7663,139,676,,,3666,0,,780,7612132,63331,,,,,,698099,628562,7187,0,,,,,,579573,,0,8310231,70518,,449888,,,,0,8240694,69036
"2021-01-20","NC",8200,7542,61,658,,,3740,0,,803,7548801,46906,,,,,,690912,622857,6415,0,,,,,,579573,,0,8239713,53321,,438994,,,,0,8171658,51193
"2021-01-19","NC",8139,7495,56,644,,,3881,0,,861,7501895,89103,,,,,,684497,618570,9860,0,,,,,,579573,,0,8186392,98963,,426781,,,,0,8120465,98040
"2021-01-18","NC",8083,7446,0,637,,,3862,0,,863,7412792,0,,,,,,674637,609633,0,0,,,,,,521475,,0,8087429,0,,422577,,,,0,8022425,0
"2021-01-17","NC",8083,7446,67,637,,,3862,0,,863,7412792,66560,,,,,,674637,609633,6811,0,,,,,,521475,,0,8087429,73371,,422577,,,,0,8022425,72511
"2021-01-16","NC",8016,7384,83,632,,,3895,0,,880,7346232,68360,,,,,,667826,603682,7986,0,,,,,,521475,,0,8014058,76346,,417786,,,,0,7949914,75272
"2021-01-15","NC",7933,7323,108,610,,,3916,0,,861,7277872,78630,,,,,,659840,596770,8914,0,,,,,,521475,,0,7937712,87544,,408021,,,,0,7874642,86135
"2021-01-14","NC",7825,7230,80,595,,,3990,0,,858,7199242,74136,,,,,,650926,589265,9853,0,,,,,,521475,,0,7850168,83989,,398903,,,,0,7788507,82070
"2021-01-13","NC",7745,7167,107,578,,,3951,0,,848,7125106,33432,,,,,,641073,581331,5098,0,,,,,,521475,,0,7766179,38530,,388038,,,,0,7706437,36891
"2021-01-12","NC",7638,7080,60,558,,,3940,0,,839,7091674,52108,,,,,,635975,577872,6851,0,,,,,,521475,,0,7727649,58959,,376857,,,,0,7669546,58222
"2021-01-11","NC",7578,7031,11,547,,,3843,0,,811,7039566,107398,,,,,,629124,571758,5936,0,,,,,,521475,,0,7668690,113334,,372216,,,,0,7611324,112981
"2021-01-10","NC",7567,7021,142,546,,,3774,0,,790,6932168,58986,,,,,,623188,566175,8833,0,,,,,,487090,,0,7555356,67819,,312430,,,,0,7498343,66868
"2021-01-09","NC",7425,6901,97,524,,,3871,0,,834,6873182,69406,,,,,,614355,558293,11581,0,,,,,,487090,,0,7487537,80987,,309520,,,,0,7431475,79566
"2021-01-08","NC",7328,6821,115,507,,,3960,0,,833,6803776,81880,,,,,,602774,548133,10028,0,,,,,,487090,,0,7406550,91908,,302335,,,,0,7351909,90469
"2021-01-07","NC",7213,6727,137,486,,,3960,0,,826,6721896,61026,,,,,,592746,539544,10398,0,,,,,,487090,,0,7314642,71424,,295778,,,,0,7261440,69740
"2021-01-06","NC",7076,6615,80,461,,,3893,0,,823,6660870,36095,,,,,,582348,530830,6952,0,,,,,,487090,,0,7243218,43047,,288492,,,,0,7191700,41112
