"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-02-17","SD",1844,,0,,6466,6466,94,5,,11,304204,286,,,,,4,110685,98499,92,0,,,,,,106769,,0,414889,378,,,,,414889,378,937860,2696
"2021-02-16","SD",1844,,0,,6461,6461,97,15,,10,303918,510,,,,,16,110593,98407,217,0,,,,,,106545,,0,414511,727,,,,,414511,727,935164,2735
"2021-02-15","SD",1844,,0,,6446,6446,86,8,,12,303408,275,,,,,16,110376,98253,61,0,,,,,,106440,,0,413784,336,,,,,413784,336,932429,926
"2021-02-14","SD",1844,,6,,6438,6438,87,7,,12,303133,490,,,,,16,110315,98208,110,0,,,,,,106398,,0,413448,600,,,,,413448,600,931503,1844
"2021-02-13","SD",1838,,7,,6431,6431,82,6,,12,302643,535,,,,,13,110205,98106,137,0,,,,,,106248,,0,412848,672,,,,,412848,672,929659,4118
"2021-02-12","SD",1831,,2,,6425,6425,84,14,,13,302108,662,,,,,11,110068,98010,209,0,,,,,,106057,,0,412176,871,,,,,412176,871,925541,3173
"2021-02-11","SD",1829,,14,,6411,6411,104,14,,17,301446,1385,,,,,6,109859,97852,279,0,,,,,,105821,,0,411305,1664,,,,,411305,1664,922368,19138
"2021-02-10","SD",1815,,6,,6397,6397,109,10,,20,300061,1089,,,,,12,109580,97672,175,0,,,,,,105614,,0,409641,1264,,,,,409641,1264,903230,6214
"2021-02-09","SD",1809,,0,,6387,6387,109,10,,18,298972,459,,,,,13,109405,97556,122,0,,,,,,105352,,0,408377,581,,,,,408377,581,897016,2776
"2021-02-08","SD",1809,,0,,6377,6377,112,7,,19,298513,279,,,,,12,109283,97449,54,0,,,,,,105166,,0,407796,333,,,,,407796,333,894240,888
"2021-02-07","SD",1809,,5,,6370,6370,113,11,,25,298234,412,,,,,15,109229,97406,97,0,,,,,,105104,,0,407463,509,,,,,407463,509,893352,1670
"2021-02-06","SD",1804,,6,,6359,6359,115,13,,25,297822,648,,,,,15,109132,97342,188,0,,,,,,104956,,0,406954,836,,,,,406954,836,891682,2664
"2021-02-05","SD",1798,,10,,6346,6346,121,12,,27,297174,583,,,,,17,108944,97221,131,0,,,,,,104716,,0,406118,714,,,,,406118,714,889018,2939
"2021-02-04","SD",1788,,6,,6334,6334,126,13,,23,296591,863,,,,,17,108813,97115,174,0,,,,,,104508,,0,405404,1037,,,,,405404,1037,886079,3137
