"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-02-17","TN",10985,8834,31,2151,18120,18120,1245,57,,320,5994830,7423,,,5896787,,173,760303,639607,780,0,,131976,,,737650,729629,,0,6755133,8203,,1265367,,,,0,6634437,7904
"2021-02-16","TN",10954,8810,17,2144,18063,18063,1219,36,,329,5987407,7676,,,5889487,,173,759523,639126,962,0,,131553,,,737046,726910,,0,6746930,8638,,1255785,,,,0,6626533,8252
"2021-02-15","TN",10937,8797,4,2140,18027,18027,1221,10,,332,5979731,10535,,,5881967,,180,758561,638550,1143,0,,131141,,,736314,724031,,0,6738292,11678,,1243972,,,,0,6618281,11332
"2021-02-14","TN",10933,8793,31,2140,18017,18017,1246,20,,313,5969196,13712,,,5871524,,182,757418,637753,1347,0,,130775,,,735425,722598,,0,6726614,15059,,1240889,,,,0,6606949,14674
"2021-02-13","TN",10902,8769,9,2133,17997,17997,1285,28,,331,5955484,18778,,,5857936,,181,756071,636791,1792,0,,130365,,,734339,720977,,0,6711555,20570,,1236965,,,,0,6592275,20034
"2021-02-12","TN",10893,8761,81,2132,17969,17969,1332,49,,338,5936706,23179,,,5839323,,184,754279,635535,2246,0,,129787,,,732918,718749,,0,6690985,25425,,1226193,,,,0,6572241,24807
"2021-02-11","TN",10812,8706,81,2106,17920,17920,1385,45,,362,5913527,23004,,,5816398,,199,752033,633907,1624,0,,129106,,,731036,716136,,0,6665560,24628,,1212208,,,,0,6547434,24051
"2021-02-10","TN",10731,8652,100,2079,17875,17875,1419,89,,393,5890523,25468,,,5794129,,214,750409,632860,2947,0,,128389,,,729254,714067,,0,6640932,28415,,1200650,,,,0,6523383,27589
"2021-02-09","TN",10631,8586,65,2045,17786,17786,1404,91,,409,5865055,8083,,,5768956,,220,747462,630739,1636,0,,127541,,,726838,710742,,0,6612517,9719,,1184877,,,,0,6495794,8984
"2021-02-08","TN",10566,8536,97,2030,17695,17695,1431,39,,398,5856972,10746,,,5761000,,208,745826,629838,1226,0,,126743,,,725810,707098,,0,6602798,11972,,1168830,,,,0,6486810,11616
"2021-02-07","TN",10469,8465,6,2004,17656,17656,1439,14,,405,5846226,26057,,,5750383,,211,744600,628968,2387,0,,126335,,,724811,705492,,0,6590826,28444,,960489,,,,0,6475194,27884
"2021-02-06","TN",10463,8457,58,2006,17642,17642,1514,78,,418,5820169,27347,,,5724638,,228,742213,627141,3182,0,,125726,,,722672,703426,,0,6562382,30529,,956295,,,,0,6447310,29654
"2021-02-05","TN",10405,8414,203,1991,17564,17564,1558,95,,438,5792822,26027,,,5697699,,235,739031,624834,2661,0,,124762,,,719957,700620,,0,6531853,28688,,944196,,,,0,6417656,27910
"2021-02-04","TN",10202,8279,169,1923,17469,17469,1562,107,,433,5766795,27681,,,5671947,,236,736370,622951,3154,0,,123907,,,717799,697110,,0,6503165,30835,,933177,,,,0,6389746,29948
"2021-02-03","TN",10033,8168,133,1865,17362,17362,1638,86,,474,5739114,11656,,,5644464,,266,733216,620684,1856,0,,122962,,,715334,693707,,0,6472330,13512,,923149,,,,0,6359798,12728
"2021-02-02","TN",9900,8068,147,1832,17276,17276,1687,104,,471,5727458,8787,,,5633076,,277,731360,619612,2173,0,,122057,,,713994,688963,,0,6458818,10960,,915501,,,,0,6347070,10080
