"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-02-17","WV",2225,1898,9,327,,,320,0,,74,1977797,7959,,,,,32,128405,102744,288,0,,,,,,115658,,0,2106202,8247,31951,,,,,0,2080541,8179
"2021-02-16","WV",2216,1889,4,327,,,321,0,,82,1969838,6672,,,,,39,128117,102524,228,0,,,,,,114932,,0,2097955,6900,31906,,,,,0,2072362,6797
"2021-02-15","WV",2212,1886,2,326,,,319,0,,80,1963166,5196,,,,,46,127889,102399,301,0,,,,,,113994,,0,2091055,5497,31867,,,,,0,2065565,5403
"2021-02-14","WV",2210,1884,9,326,,,327,0,,80,1957970,6300,,,,,43,127588,102192,306,0,,,,,,113555,,0,2085558,6606,31822,,,,,0,2060162,6526
"2021-02-13","WV",2201,1875,1,326,,,321,0,,77,1951670,10085,,,,,37,127282,101966,395,0,,,,,,112541,,0,2078952,10480,31742,,,,,0,2053636,10423
"2021-02-12","WV",2200,1873,13,327,,,348,0,,80,1941585,13855,,,,,39,126887,101628,467,0,,,,,,111584,,0,2068472,14322,31692,,,,,0,2043213,14232
"2021-02-11","WV",2187,1863,12,324,,,364,0,,82,1927730,12240,,,,,40,126420,101251,469,0,,,,,,110698,,0,2054150,12709,31492,,,,,0,2028981,12613
"2021-02-10","WV",2175,1857,25,318,,,362,0,,97,1915490,8731,,,,,47,125951,100878,429,0,,,,,,109700,,0,2041441,9160,31405,,,,,0,2016368,9052
"2021-02-09","WV",2150,1835,19,315,,,394,0,,109,1906759,7699,,,,,50,125522,100557,416,0,,,,,,108616,,0,2032281,8115,31346,,,,,0,2007316,8021
"2021-02-08","WV",2131,1822,2,309,,,375,0,,107,1899060,6627,,,,,52,125106,100235,398,0,,,,,,107418,,0,2024166,7025,31292,,,,,0,1999295,6929
"2021-02-07","WV",2129,1820,10,309,,,381,0,,115,1892433,8898,,,,,51,124708,99933,518,0,,,,,,106442,,0,2017141,9416,31206,,,,,0,1992366,9316
"2021-02-06","WV",2119,1812,19,307,,,378,0,,115,1883535,12226,,,,,56,124190,99515,549,0,,,,,,105185,,0,2007725,12775,31074,,,,,0,1983050,12621
"2021-02-05","WV",2100,1797,20,303,,,384,0,,116,1871309,14145,,,,,55,123641,99120,597,0,,,,,,103780,,0,1994950,14742,30912,,,,,0,1970429,14634
"2021-02-04","WV",2080,1783,22,297,,,396,0,,109,1857164,11496,,,,,52,123044,98631,574,0,,,,,,102495,,0,1980208,12070,30826,,,,,0,1955795,11947
