state,stateSymbol,maskDate1,isMaskRequired1,maskDate2,isMaskRequired2,maskDate3,isMaskRequired3,schoolClosure_m1,banGathering_m1,resturantLimit_m1,stayAtHome_m1,nonEssenBussiness_m1,travelQuarantine_m1,barClosure_m1,schoolClosure_e1,banGathering_e1,resturantLimit_e1,stayAtHome_e1,nonEssenBussiness_e1,travelQuarantine_e1,barClosure_e1,schoolClosure_m2,banGathering_m2,resturantLimit_m2,stayAtHome_m2,nonEssenBussiness_m2,travelQuarantine_m2,barClosure_m2,schoolClosure_e2,banGathering_e2,resturantLimit_e2,stayAtHome_e2,nonEssenBussiness_e2,travelQuarantine_e2,barClosure_e2,mean_m1,mean_e1,mean_m2,mean_e2
Alabama,AL,04/28/2020,0,07/16/2020,1,,,03/27/2020,03/27/2020,03/27/2020,03/27/2020,03/27/2020,,,,,,04/30/2020,,,,,,,,,,,,,,,,,,03/27/2020,04/30/2020,,
Alaska,AK,04/20/2020,0,,,,,03/13/2020,03/20/2020,03/18/2020,03/17/2020,03/17/2020,03/28/2020,,,04/24/2020,04/24/2020,04/24/2020,04/24/2020,,,,,,,,11/16/2020,,,,,,,,,03/18/2020,04/24/2020,11/16/2020,
Arizona,AZ,03/30/2020,0,,,,,03/16/2020,03/30/2020,03/19/2020,03/30/2020,03/30/2020,04/07/2020,,,,,05/16/2020,05/08/2020,,,,06/29/2020,07/11/2020,,07/23/2020,,,,,,,,,,03/27/2020,05/12/2020,07/11/2020,
Arkansas,AR,05/04/2020,1,,,,,03/11/2020,03/26/2020,03/11/2020,,,05/14/2020,,,06/15/2020,05/11/2020,,,06/15/2020,,,01/02/2021,11/20/2020,,,,,,,,,,,,03/30/2020,06/03/2020,12/11/2020,
California,CA,06/18/2020,1,,,,,,03/16/2020,03/16/2020,03/19/2020,03/19/2020,,,,10/09/2020,05/08/2020,,05/11/2020,,,,,07/01/2020,11/21/2020,,,,,,01/25/2020,01/25/2020,,,,03/17/2020,06/29/2020,09/10/2020,01/25/2020
Colorado,CO,07/17/2020,1,,,,,03/18/2020,04/26/2020,03/16/2020,03/26/2020,,,,04/27/2020,06/01/2020,05/27/2020,,06/18/2020,,,,,,,07/21/2020,,06/30/2020,,,,,,,,03/29/2020,05/26/2020,07/10/2020,
Connecticut,CT,04/17/2020,1,,,,,03/11/2020,03/16/2020,03/16/2020,03/23/2020,03/20/2020,06/24/2020,09/25/2020,,06/17/2020,05/20/2020,05/20/2020,05/20/2020,,,,11/06/2020,11/06/2020,,11/06/2020,,,,,,,,,,04/27/2020,05/27/2020,11/06/2020,
Delaware,DE,04/28/2020,1,,,,,03/13/2020,03/16/2020,03/16/2020,03/22/2020,03/22/2020,03/29/2020,07/01/2020,,,,,02/12/2020,,,,,,,,,,,,,,,,,04/03/2020,02/12/2020,,
Florida,FL,06/05/2020,0,,,,,03/17/2020,04/01/2020,03/17/2020,04/01/2020,04/01/2020,03/24/2020,,,,05/29/2020,05/04/2020,06/22/2020,06/05/2020,06/26/2020,,,,,,,,,,,,,,,03/25/2020,06/04/2020,,
Georgia,GA,04/13/2020,0,,,,,03/16/2020,03/23/2020,03/23/2020,03/23/2020,,,,,06/16/2020,04/27/2020,05/01/2020,04/24/2020,,,,,,,,,,,,,,,,,03/21/2020,05/09/2020,,
